,death,parole,population
2015-01,4,60,45
2015-02,0,0,0
2015-03,4,19,13
2015-04,0,0,0
2015-05,4,13,5
2015-06,0,7,9
2015-07,1,7,3
2015-08,1,9,2
2015-09,1,1,0
2015-10,1,0,1
2015-11,0,2,1
2015-12,8,16,1
2016-01,14,63,44
2016-02,0,2,0
2016-03,5,11,26
2016-04,2,0,0
2016-05,5,12,6
2016-06,0,8,7
2016-07,0,1,2
2016-08,0,2,2
2016-09,0,1,0
2016-10,0,1,0
2016-11,0,2,1
2016-12,8,6,10
2017-01,2,37,11
2017-02,0,0,1
2017-03,2,10,5
2017-04,0,0,0
2017-05,0,6,7
2017-06,0,29,10
2017-07,0,1,0
2017-08,0,2,0
2017-09,0,2,1
2017-10,0,0,4
2017-11,0,4,3
2017-12,6,7,7
2018-01,2,45,25
2018-02,0,0,0
2018-03,4,8,4
2018-04,0,3,0
2018-05,2,8,3
2018-06,0,8,11
2018-07,0,0,1
2018-08,0,6,0
2018-09,1,3,0
2018-10,1,5,4
2018-11,0,7,5
2018-12,5,7,6
2019-01,4,20,5
2019-02,0,0,0
2019-03,1,13,1
2019-04,0,3,0
2019-05,7,8,0
2019-06,3,7,11
2019-07,2,2,0
2019-08,0,0,0
2019-09,1,3,0
2019-10,1,4,2
2019-11,1,2,0
2019-12,10,10,5
2020-01,24,101,77
2020-02,1,0,1
2020-03,20,28,58
2020-04,2,0,2
2020-05,4,24,3
2020-06,2,22,24
2020-07,0,3,8
2020-08,0,5,0
2020-09,2,13,0
2020-10,2,5,0
2020-11,1,2,12
2020-12,12,29,83
2021-01,8,78,46
2021-02,0,0,1
2021-03,6,16,218
2021-04,4,2,0
2021-05,0,8,9
2021-06,0,4,18
2021-07,0,7,8
2021-08,0,3,3
2021-09,0,2,6
2021-10,6,10,6
2021-11,0,4,7
2021-12,4,12,15
2022-01,3,46,38
2022-02,3,0,1
2022-03,1,15,287
2022-04,0,4,1
2022-05,0,10,6
2022-06,0,4,6
2022-07,2,3,15
2022-08,0,0,4
2022-09,1,2,3
2022-10,0,2,6
2022-11,0,4,3
2022-12,5,4,18
2023-01,11,13,28
2023-02,4,4,11
2023-03,2,8,91
2023-04,2,4,23
2023-05,4,4,12
2023-06,4,4,15
2023-07,1,6,31
2023-08,0,2,18
2023-09,3,4,13
2023-10,3,4,15
2023-11,1,4,11
2023-12,3,4,14
2024-01,4,10,26
2024-02,1,4,14
2024-03,2,3,739
2024-04,2,3,13
2024-05,2,3,15
2024-06,5,7,24
2024-07,3,3,19
2024-08,0,0,2
2024-09,1,5,11
2024-10,2,3,12
2024-11,2,3,10
2024-12,2,2,1
2025-01,4,29,22
2025-02,6,30,20
2025-03,5,30,211
2025-04,5,29,24
2025-05,9,30,23
2025-06,6,32,25
2025-07,6,35,22
2025-08,5,23,10
2025-09,0,0,0
2025-10,0,0,0
2025-11,0,0,0
2025-12,0,0,0
